Sample ID,Date,Season,Year,Collector,PlantCondition,PlantPortion,WhoCleaned/Dried,Strata,Habitat,SiteCode,Site,Pair,SiteType,PairID,Taxa,SampleType,Species,SppAb,Iso_Triplicate?,TrayName,%N,ugN ,D15N ,%C,mgC,D13C ,%S,ugS,D34S ,CSIB_Notes,UCB_Notes,Inventory_Notes
NP20.236,5/13/20,Summer,2020,ICF,Green ,Leaves,UCB,INT6,Interior,BR,Browns,P1,Ref,P1_Ref,Emergent,Emergent,Typha,Typha,0,,2.952962561,93.1659688,5.861495876,49.12233914,1.5498098,-28.19302687,0.211533518,6.6738825,8.881335788,0,0,"IDed after frozen by UCB, confirmed typha by mdp"
NP21.087,6/25/21,Summer,2021,USGS/UCB,0,0,UCB,INT4,Interior,BR,Browns,P1,Ref,P1_Ref,Emergent,Emergent,Typha,Typha,0,,2.043454918,64.7775209,5.487172146,50.02548896,1.585808,-28.676223,0.26107918,8.27621,14.1795518,0,0,0
NP21.091,6/25/21,Summer,2021,USGS/UCB,0,0,UCB,INT2,Interior,BR,Browns,P1,Ref,P1_Ref,Emergent,Emergent,Typha,Typha,0,,1.876624849,58.3630328,7.825237577,48.95485531,1.522496,-28.71685052,0.180793569,5.62268,10.08710714,0,0,0
NP20.240,5/19/20,Summer,2020,ICF,Green,Leaves,UCB,INT5,Interior,SH,Sherman,P1,Res,P1_Res,Emergent,Emergent,Typha,Typha,0,,2.531284081,78.3432423,8.027904891,48.26054927,1.493664,-28.07473749,0.141240065,4.37138,5.813635783,0,0,IDed after frozen by UCB
NP20.279,5/19/20,Summer,2020,ICF,Green,Leaves,UCB,INT1,Interior,SH,Sherman,P1,Res,P1_Res,Emergent,Emergent,Typha,Typha,0,,3.633251936,113.539123,5.699080161,50.2691392,1.5709106,-29.34196869,0.43447176,13.5772425,9.393606548,0,0,IDed after frozen by UCB
NP20.282,5/19/20,Summer,2020,ICF,Green,Leaves,UCB,INT2,Interior,SH,Sherman,P1,Res,P1_Res,Emergent,Emergent,Typha,Typha,0,,2.43719406,76.6497532,5.639035564,48.48279809,1.524784,-30.45254515,0.227886486,7.16703,9.015489934,0,0,IDed after frozen by UCB
NP21.180,5/1/21,Summer,2021,USGS,Green,Leaves,USGS,INT3,Interior,SH,Sherman,P1,Res,P1_Res,Emergent,Emergent,Typha,Typha,0,,1.295560428,41.4579337,9.215358462,36.736,1.175552,-26.72610194,0.160385133,2.42983476,15.35643819,S rerun sample,0,0
NP21.004,6/2/21,Summer,2021,USGS/UCB,0,0,UCB,EXT3,Exterior,BR,Browns,P1,Ref,P1_Ref,FAV,FAV,Alternanthera philoxeroides,Alternanthera,,NSAVFAV_T01,4.338039735,131.0088,10.36156473,38.85564238,1.1734404,-27.95943982,0.32157106,9.711446,19.92252793,,0,0
NP21.006,6/2/21,Summer,2021,USGS/UCB,0,0,UCB,EXT2,Exterior,BR,Browns,P1,Ref,P1_Ref,FAV,FAV,Alternanthera philoxeroides,Alternanthera,Y,NSAVFAV_T01,4.711622665,146.8278667,10.73908144,40.41689877,1.2598212,-27.79092183,0.29837805,9.29648,20.51774819,,#N/A,0
NP21.109,7/6/21,Summer,2021,USGS/UCB,0,0,UCB,EXT2,Exterior,SH,Sherman,P1,Res,P1_Res,FAV,FAV,Alternanthera philoxeroides,Alternanthera,,NSAVFAV_T01,3.423478827,105.1008,11.66542758,41.13498371,1.262844,-28.61437361,0.252054658,7.738078,19.6249178,,0,0
